K	pix_acc	mean_acc	mean_IOU	fw_IOU
256/stride16	0.594730722	0.548159288	0.353818088	0.485679861
256/stride8	0.842906842	0.739081708	0.61349795	0.771076851
384/batch6	0.285218053	0.333948029	0.13493849	0.165629305
384/batch8	0.266774256	0.336309876	0.114551946	0.132434494
512/batch6	0.512064012	0.34129648	0.205774536	0.342280529
512/batch2	0.888120974	0.799079336	0.705790307	0.819234044
640/batch2	0.884740094	0.808645087	0.719381656	0.819287259
800/batch2	0.861945053	0.771765398	0.671433622	0.783476964
